epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12145.8,0.85309,0.77945,1.20212,0.72995,0.65644,0.74139,0.58981,0.77331,0.6931,1.17418,0.005842,0.005842,0.005842
44,12427.3,0.84426,0.77145,1.1914,0.74054,0.6541,0.74431,0.59138,0.76559,0.68201,1.16734,0.005743,0.005743,0.005743
45,12709.1,0.8417,0.77056,1.18962,0.7375,0.66867,0.74845,0.59539,0.76874,0.68217,1.16563,0.005644,0.005644,0.005644
46,12988.7,0.84042,0.7672,1.19218,0.72126,0.66373,0.74282,0.59181,0.76493,0.6846,1.1687,0.005545,0.005545,0.005545
47,13266.7,0.83876,0.75809,1.19239,0.71835,0.67559,0.74538,0.59318,0.76426,0.68305,1.16993,0.005446,0.005446,0.005446
48,13544.3,0.83238,0.75212,1.18915,0.74549,0.66178,0.75422,0.6,0.762,0.67101,1.17055,0.005347,0.005347,0.005347
49,13822.7,0.83118,0.75136,1.1864,0.7432,0.66024,0.75097,0.59838,0.76307,0.67655,1.16571,0.005248,0.005248,0.005248
50,14097.7,0.82572,0.74582,1.18494,0.73889,0.66665,0.75225,0.59945,0.75842,0.6734,1.16477,0.005149,0.005149,0.005149
51,14372.1,0.82285,0.73396,1.1747,0.72931,0.6762,0.7543,0.60295,0.75724,0.66433,1.16118,0.00505,0.00505,0.00505
52,14661.1,0.82017,0.73354,1.17677,0.72782,0.67694,0.75427,0.60213,0.75615,0.66663,1.16027,0.004951,0.004951,0.004951
53,14938.5,0.8179,0.73524,1.17619,0.72149,0.68133,0.75523,0.60382,0.7526,0.66444,1.1559,0.004852,0.004852,0.004852
54,15216.7,0.81426,0.73469,1.17439,0.72747,0.68314,0.75727,0.60464,0.75081,0.6567,1.1573,0.004753,0.004753,0.004753
